title,price,description,esrb_rating,genre,manufacturer,platform,release_date,weight,stock
EA Sports FC 24   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SPORTS,EA,PS5,29-Sep-23,14633382075,42
EA Sports PGA Tour   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SPORTS,EA,PS5,07-Apr-23,14633377194,38
Edge of Eternity   PlayStation 5 PS5,49.99,,Teen,RPG,GAME S2,PS5,10-Feb-22,0.1750 lbs,33
Eiyuden Chronicle Hundred Heroes   PlayStation 5 PS5 ,69.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Rating Pending,RPG,505 GAMES,PS5,30-Apr-24,,35
Eiyuden Chronicle Rising   PlayStation 5 PS5,44.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone_10_Plus,RPG,REDART,PS5,10-Mar-23,0.1800 lbs,3
Elden Ring   PlayStation 5 PS5,79.99,,Mature,RPG,NAMCOBANDA,PS5,25-Feb-22,0.1750 lbs,30
Elex 2   PlayStation 5 PS5,59.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,ACT/AD,NORDIC,PS5,01-Mar-22,0.1750 lbs,41
Endless Dungeon Day One Edition   PlayStation 5 PS5,54.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,SEGA,PS5,20-Oct-23,0.4800 lbs,50
Eternights   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,RPG,MAXIMUM,PS5,16-Nov-23,0.1700 lbs,41
Ever Forward   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Everyone_10_Plus,PUZZLE,PM STUDIOS,PS5,21-Dec-21,0.1750 lbs,42
Evil Dead the Game   PlayStation 5 PS5,29.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,FIGHTING,U&I ENTMNT,PS5,13-May-22,8.12303E+11,30
Evil Genius 2 World Domination   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,STRATEGY,U&I ENTMNT,PS5,30-Nov-21,0.1700 lbs,32
